Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,0.555181,0.573740,0.554918,0.573198,0.573198,533676169
2023-02-08,0.573202,0.577324,0.558793,0.568716,0.568716,515113117
2023-02-09,0.568775,0.570371,0.517394,0.522480,0.522480,701069814
2023-02-10,0.522384,0.528482,0.514115,0.519160,0.519160,517822504
2023-02-11,0.519191,0.535032,0.517923,0.534069,0.534069,324095493
2023-02-12,0.534017,0.540087,0.521714,0.526961,0.526961,349038392
2023-02-13,0.526954,0.529102,0.497902,0.516065,0.516065,529274285
2023-02-14,0.515984,0.561561,0.510207,0.553067,0.553067,681858572
2023-02-15,0.553118,0.605369,0.554282,0.605369,0.605369,692535924
2023-02-16,0.605291,0.607101,0.564773,0.565252,0.565252,805789031
2023-02-17,0.565195,0.594539,0.563996,0.587212,0.587212,586635787
2023-02-18,0.587191,0.604662,0.579261,0.590683,0.590683,457361505
2023-02-19,0.590647,0.598384,0.581177,0.582474,0.582474,504673223
2023-02-20,0.582537,0.592976,0.570065,0.584802,0.584802,543644438
2023-02-21,0.584861,0.587405,0.565925,0.571748,0.571748,564855832
2023-02-22,0.571777,0.572237,0.555198,0.570981,0.570981,563369541
2023-02-23,0.570989,0.577372,0.561250,0.562604,0.562604,428073251
2023-02-24,0.562533,0.564520,0.534947,0.543888,0.543888,589787580
2023-02-25,0.543925,0.546135,0.526216,0.538832,0.538832,419159399
2023-02-26,0.538872,0.549210,0.533053,0.547966,0.547966,308434253
2023-02-27,0.547917,0.548855,0.532520,0.541403,0.541403,345306282
2023-02-28,0.541385,0.545406,0.519589,0.523671,0.523671,356880866
2023-03-01,0.523779,0.538543,0.523155,0.533087,0.533087,339743303
2023-03-02,0.533110,0.534010,0.515397,0.520244,0.520244,363959656
2023-03-03,0.520318,0.520950,0.485728,0.506408,0.506408,585207524
2023-03-04,0.506433,0.508741,0.490115,0.497160,0.497160,255680879
2023-03-05,0.497145,0.506034,0.495418,0.499106,0.499106,254422629
2023-03-06,0.499103,0.500906,0.490791,0.491410,0.491410,335432163
2023-03-07,0.491469,0.497002,0.488481,0.501572,0.501572,412990849
2023-03-08,0.501552,0.504536,0.479050,0.481762,0.481762,445330792
2023-03-09,0.481809,0.485144,0.460153,0.469982,0.469982,674191845
2023-03-10,0.481809,0.485144,0.460168,0.469982,0.469982,674191845
2023-03-11,0.470089,0.483098,0.453153,0.479462,0.479462,714431863
2023-03-12,0.479449,0.490792,0.462628,0.466849,0.466849,675199695
2023-03-13,0.466837,0.499832,0.462415,0.499832,0.499832,566563753
2023-03-14,0.499928,0.525646,0.496272,0.517733,0.517733,980945756
2023-03-15,0.517726,0.552234,0.507704,0.514964,0.514964,889615570
2023-03-16,0.515093,0.520357,0.481753,0.490570,0.490570,890591934
2023-03-17,0.490767,0.495526,0.482826,0.488317,0.488317,513461128
2023-03-18,0.488348,0.518527,0.484452,0.518527,0.518527,611003837
