Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,33034.335938,33455.656250,33024.109375,33403.589844,33403.589844,39037322214
2023-02-08,33402.332031,33561.972656,32801.656250,33108.937500,33108.937500,36619053255
2023-02-09,33119.281250,33186.597656,31386.466797,31445.623047,31445.623047,46943623606
2023-02-10,31445.574219,31680.791016,31130.109375,31342.253906,31342.253906,39198701385
2023-02-11,31343.207031,31667.041016,31294.867188,31637.333984,31637.333984,23660115412
2023-02-12,31637.375000,31912.353516,31330.322266,31517.007813,31517.007813,25778446583
2023-02-13,31515.265625,31632.412109,30801.750000,31294.603516,31294.603516,34323371723
2023-02-14,31285.593750,31905.986328,31207.498047,31801.949219,31801.949219,38345001582
2023-02-15,31801.634766,35194.156250,31784.501953,35194.156250,35194.156250,47031029562
2023-02-16,35193.445313,36535.179688,34383.613281,34424.152344,34424.152344,57292282967
2023-02-17,34420.957031,36200.500000,34185.980469,35711.015625,35711.015625,60122780589
2023-02-18,35710.570313,36050.066406,35569.675781,35821.023438,35821.023438,28529483459
2023-02-19,35819.207031,36477.773438,35416.058594,35416.058594,35416.058594,37202995059
2023-02-20,35429.132813,36184.964844,34820.562500,35940.687500,35940.687500,41959807337
2023-02-21,35946.335938,36557.507813,35303.492188,35603.523438,35603.523438,45533995305
2023-02-22,35605.074219,35654.582031,34697.585938,35512.027344,35512.027344,44337098474
2023-02-23,35514.781250,35959.386719,34693.039063,35175.273438,35175.273438,44765060473
2023-02-24,35173.093750,35352.300781,34212.019531,34490.234375,34490.234375,39862844382
2023-02-25,34493.203125,34507.781250,33994.886719,34461.527344,34461.527344,23941595859
2023-02-26,34459.707031,35139.957031,34325.984375,34991.015625,34991.015625,24718981784
2023-02-27,34991.371094,35449.796875,34441.003906,34901.050781,34901.050781,33621933422
2023-02-28,34899.515625,34912.359375,34295.859375,34391.992188,34391.992188,30511134960
2023-03-01,34397.304688,35274.250000,34461.437500,34981.144531,34981.144531,36484579523
2023-03-02,34981.839844,35092.808594,34595.750000,34873.628906,34873.628906,30284708520
2023-03-03,34875.359375,34879.886719,32809.906250,33041.796875,33041.796875,38508297433
2023-03-04,33042.156250,33102.437500,32797.796875,33025.867188,33025.867188,16497181114
2023-03-05,33027.039063,33410.500000,32957.601563,33217.597656,33217.597656,19716899742
2023-03-06,33219.523438,33526.722656,33073.078125,33317.765625,33317.765625,25776901263
2023-03-07,33315.636719,33416.160156,33403.851563,33722.808594,33722.808594,34550990217
2023-03-08,33717.761719,33811.710938,32928.898438,32946.109375,32946.109375,34187759948
2023-03-09,32949.144531,33077.273438,30678.134766,30903.939453,30903.939453,46082932579
2023-03-10,32949.144531,33077.644531,30678.134766,30903.939453,30903.939453,46082932579
2023-03-11,30909.980469,30919.589844,29804.130859,30693.695313,30693.695313,60176761913
2023-03-12,30694.658203,31613.996094,30513.394531,31341.951172,31341.951172,45845789277
2023-03-13,31335.296875,33446.398438,31063.044922,33414.613281,33414.613281,44141396021
2023-03-14,33403.242188,36559.781250,33129.820313,36356.382813,36356.382813,74322369011
2023-03-15,36362.742188,39662.542969,36203.265625,37011.464844,37011.464844,81695738545
2023-03-16,37048.636719,37991.972656,36314.937500,36835.367188,36835.367188,65969658411
2023-03-17,36831.582031,37835.441406,36550.507813,37597.898438,37597.898438,50824390568
2023-03-18,37601.402344,41119.015625,37471.058594,40567.945313,40567.945313,75044768290
2023-03-19,40603.726563,41015.003906,39431.921875,39919.882813,39919.882813,52883847859
2023-03-20,39925.250000,42310.964844,39833.781250,41765.820313,41765.820313,56260577861
2023-03-21,41770.179688,42716.214844,40703.535156,41341.054688,41341.054688,66661497669
2023-03-22,41342.777344,42731.578125,41035.910156,42189.058594,42189.058594,54057618435
2023-03-23,42163.460938,42859.335938,40015.773438,40772.570313,40772.570313,49842496592
2023-03-24,40764.390625,42751.500000,40497.531250,42408.136719,42408.136719,36251304393
2023-03-25,42393.378906,42496.640625,40678.898438,41330.847656,41330.847656,39056383328
2023-03-26,41321.906250,41779.644531,40884.289063,41332.984375,41332.984375,20118766582
2023-03-27,41334.214844,42360.402344,41258.332031,42065.425781,42065.425781,20854197545
2023-03-28,42065.035156,42199.238281,40067.679688,40751.492188,40751.492188,27311262721
2023-03-29,40740.980469,40948.574219,40004.214844,40659.812500,40659.812500,26517322153
2023-03-30,40658.171875,42919.554688,40714.730469,42428.601563,42428.601563,30958786208
2023-03-31,42431.144531,43685.906250,41388.941406,41747.582031,41747.582031,33410723146
2023-04-01,41745.644531,42714.226563,41304.351563,42581.457031,42581.457031,28411070044
2023-04-02,42573.753906,43065.867188,42310.355469,42480.605469,42480.605469,16262660943
2023-04-03,42558.074219,42641.972656,41781.765625,42349.296875,42349.296875,18448891085
2023-04-04,42324.925781,42407.035156,40197.046875,40950.531250,40950.531250,28817658539
2023-04-05,40957.976563,42118.648438,40785.468750,41669.195313,41669.195313,22610494756
2023-04-06,41671.617188,42462.453125,41424.144531,41954.285156,41954.285156,25389244429
2023-04-07,41950.179688,41954.882813,41444.398438,42017.441406,42017.441406,20732650120
2023-04-08,42009.691406,42128.539063,41608.222656,41867.843750,41867.843750,16284374486
