Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,0.129971,0.133021,0.129909,0.132923,0.132923,735963018
2023-02-08,0.132907,0.133681,0.128712,0.130124,0.130124,668151116
2023-02-09,0.130134,0.130974,0.115566,0.117429,0.117429,1180355186
2023-02-10,0.117427,0.119794,0.116408,0.117385,0.117385,748067779
2023-02-11,0.117351,0.119360,0.116949,0.119155,0.119155,353162811
2023-02-12,0.119130,0.123563,0.118243,0.118822,0.118822,649085646
2023-02-13,0.118822,0.124781,0.114787,0.117893,0.117893,1079249789
2023-02-14,0.117876,0.119727,0.116709,0.119552,0.119552,612063870
2023-02-15,0.119553,0.129359,0.119224,0.129280,0.129280,1225915332
2023-02-16,0.129266,0.132478,0.123776,0.123927,0.123927,1238267766
2023-02-17,0.123942,0.128464,0.123431,0.127585,0.127585,650187289
2023-02-18,0.127575,0.130574,0.126435,0.129273,0.129273,578454243
2023-02-19,0.129272,0.130452,0.125668,0.126605,0.126605,735454840
2023-02-20,0.126646,0.128276,0.124936,0.127683,0.127683,651249112
2023-02-21,0.127704,0.128422,0.123762,0.124446,0.124446,704089409
2023-02-22,0.124453,0.128243,0.122189,0.125573,0.125573,1123376791
2023-02-23,0.125575,0.126364,0.123308,0.123812,0.123812,516132357
2023-02-24,0.123807,0.124520,0.118776,0.120280,0.120280,667764802
2023-02-25,0.120301,0.121585,0.117558,0.120127,0.120127,470367280
2023-02-26,0.120113,0.122518,0.119816,0.122079,0.122079,324098212
2023-02-27,0.122079,0.122079,0.119034,0.120706,0.120706,396195486
2023-02-28,0.120712,0.122679,0.119186,0.119976,0.119976,550794911
2023-03-01,0.119995,0.121956,0.120296,0.121253,0.121253,385368063
2023-03-02,0.121259,0.121465,0.118805,0.119615,0.119615,334978857
2023-03-03,0.119623,0.119694,0.110060,0.113441,0.113441,833706461
2023-03-04,0.113443,0.113992,0.108001,0.110153,0.110153,395042813
2023-03-05,0.110165,0.112163,0.109945,0.110740,0.110740,319468419
2023-03-06,0.110733,0.111627,0.109433,0.111117,0.111117,408483636
2023-03-07,0.111117,0.112396,0.110887,0.112382,0.112382,469388609
2023-03-08,0.112382,0.112676,0.107385,0.107903,0.107903,487906128
2023-03-09,0.107906,0.108962,0.098069,0.100146,0.100146,794882777
2023-03-10,0.107906,0.108962,0.098069,0.100146,0.100146,794882777
2023-03-11,0.100159,0.100291,0.095672,0.100096,0.100096,723369737
2023-03-12,0.100096,0.103689,0.097989,0.101161,0.101161,682127535
2023-03-13,0.101142,0.107508,0.100362,0.107042,0.107042,565765217
2023-03-14,0.107041,0.110004,0.103446,0.109742,0.109742,807237348
2023-03-15,0.109735,0.116352,0.107975,0.111855,0.111855,975214525
2023-03-16,0.111882,0.113750,0.103322,0.105578,0.105578,798584097
2023-03-17,0.105595,0.110259,0.104490,0.109132,0.109132,489464285
2023-03-18,0.109151,0.114344,0.107720,0.113179,0.113179,718329936
2023-03-19,0.113181,0.116516,0.107988,0.108141,0.108141,766603535
2023-03-20,0.108129,0.113812,0.108129,0.111440,0.111440,504792239
2023-03-21,0.111432,0.112732,0.105704,0.106433,0.106433,609292543
2023-03-22,0.106439,0.116382,0.105920,0.115137,0.115137,945208437
2023-03-23,0.115102,0.116264,0.107850,0.110487,0.110487,1035478279
2023-03-24,0.110483,0.117457,0.109168,0.115864,0.115864,953596885
2023-03-25,0.115852,0.116018,0.110461,0.112267,0.112267,596434060
2023-03-26,0.112270,0.114122,0.109687,0.111311,0.111311,431195151
2023-03-27,0.111328,0.113313,0.110804,0.111822,0.111822,343979328
2023-03-28,0.111835,0.114206,0.108017,0.109454,0.109454,653594476
2023-03-29,0.109460,0.110220,0.107823,0.110079,0.110079,412313686
2023-03-30,0.110079,0.115069,0.109992,0.113190,0.113190,634419587
2023-03-31,0.113212,0.114133,0.109982,0.110565,0.110565,554412953
2023-04-01,0.110587,0.116211,0.110521,0.115184,0.115184,565661139
2023-04-02,0.115168,0.127510,0.113851,0.125674,0.125674,1395140536
2023-04-03,0.122397,0.127510,0.116621,0.118775,0.118775,1396326873
2023-04-04,0.118772,0.151265,0.114873,0.141577,0.141577,5153389678
2023-04-05,0.141584,0.151749,0.136849,0.140770,0.140770,4580735238
