Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,1.451734,1.446480,1.445774,1.435941,1.435941,56260888141
2023-02-08,1.435957,1.437861,1.436012,1.443511,1.443511,56482779447
2023-02-09,1.443508,1.434190,1.429118,1.441430,1.441430,69027584631
2023-02-10,1.441427,1.441632,1.445339,1.447822,1.447822,54402519258
2023-02-11,1.447906,1.446923,1.446681,1.446786,1.446786,32986156815
2023-02-12,1.446763,1.446965,1.446113,1.446821,1.446821,35674942842
2023-02-13,1.446825,1.448904,1.446502,1.436337,1.436337,58912568964
2023-02-14,1.436324,1.438089,1.431696,1.431757,1.431757,57783598541
2023-02-15,1.431759,1.443545,1.448692,1.448168,1.448168,64464330834
2023-02-16,1.448177,1.458027,1.454683,1.457439,1.457439,83126954854
2023-02-17,1.457438,1.463750,1.453613,1.454021,1.454021,77742181324
2023-02-18,1.454012,1.454181,1.453911,1.453964,1.453964,44740982773
2023-02-19,1.453963,1.456335,1.453925,1.456139,1.456139,57186183176
2023-02-20,1.456156,1.452422,1.446384,1.447791,1.447791,64274913144
2023-02-21,1.447782,1.459191,1.450839,1.457182,1.457182,66143788366
2023-02-22,1.457203,1.466899,1.468954,1.468261,1.468261,64311735457
2023-02-23,1.468257,1.466452,1.462941,1.469033,1.469033,59831213402
2023-02-24,1.469022,1.478407,1.486733,1.486872,1.486872,59095739449
2023-02-25,1.486875,1.487010,1.487064,1.487185,1.487185,37594017096
2023-02-26,1.487186,1.487251,1.486395,1.485240,1.485240,34311761582
2023-02-27,1.485229,1.484269,1.488196,1.483966,1.483966,46248480072
2023-02-28,1.483915,1.489771,1.486286,1.486014,1.486014,44393092986
2023-03-01,1.486036,1.479960,1.480842,1.479547,1.479547,50288601734
2023-03-02,1.479529,1.483267,1.489260,1.485670,1.485670,42820358374
2023-03-03,1.485661,1.481998,1.485402,1.477690,1.477690,55773386392
2023-03-04,1.477687,1.477804,1.477552,1.477614,1.477614,27198804131
2023-03-05,1.477621,1.477798,1.477525,1.480739,1.480739,28261567238
2023-03-06,1.480725,1.478044,1.485612,1.485443,1.485443,36744705644
2023-03-07,1.485452,1.514791,1.485852,1.517714,1.517714,47807700862
2023-03-08,1.517718,1.515183,1.520613,1.517000,1.517000,47516979200
2023-03-09,1.516999,1.517516,1.516194,1.517628,1.517628,63215196192
2023-03-10,1.516999,1.517516,1.516194,1.517628,1.517628,63215196192
2023-03-11,1.517618,1.525650,1.519372,1.525083,1.525083,83915469829
2023-03-12,1.525049,1.565499,1.524701,1.530746,1.530746,98797517382
2023-03-13,1.530746,1.540181,1.514947,1.518388,1.518388,73031923857
2023-03-14,1.518717,1.526449,1.511801,1.508297,1.508297,109459644169
2023-03-15,1.508571,1.511609,1.499531,1.500507,1.500507,111842407367
2023-03-16,1.500392,1.504764,1.515334,1.517098,1.517098,94560223013
2023-03-17,1.517098,1.516781,1.507135,1.503949,1.503949,69553156679
2023-03-18,1.504015,1.496078,1.499487,1.482731,1.482731,91517781173
2023-03-19,1.482540,1.485693,1.482070,1.483844,1.483844,70667510641
2023-03-20,1.483892,1.496711,1.488738,1.494059,1.494059,66144890100
