Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,0.034728,0.037421,0.034523,0.037287,0.037287,98489005
2023-02-08,0.037282,0.038307,0.036251,0.037115,0.037115,110913909
2023-02-09,0.037129,0.037733,0.033079,0.033516,0.033516,139787579
2023-02-10,0.033517,0.035128,0.033412,0.034188,0.034188,85472607
2023-02-11,0.034172,0.034684,0.033788,0.034583,0.034583,55165983
2023-02-12,0.034579,0.035500,0.033770,0.034087,0.034087,63831236
2023-02-13,0.034086,0.034196,0.031851,0.033034,0.033034,74885493
2023-02-14,0.033023,0.034306,0.032709,0.034115,0.034115,77949648
2023-02-15,0.034117,0.037137,0.034047,0.037126,0.037126,84998070
2023-02-16,0.037129,0.037737,0.035480,0.035513,0.035513,118999397
2023-02-17,0.035510,0.041303,0.035394,0.040214,0.040214,211324376
2023-02-18,0.040215,0.041204,0.039136,0.039507,0.039507,110315940
2023-02-19,0.039501,0.044829,0.039424,0.041734,0.041734,306251423
2023-02-20,0.041762,0.046929,0.041566,0.046108,0.046108,337270816
2023-02-21,0.046125,0.046677,0.043520,0.043953,0.043953,208671033
2023-02-22,0.043954,0.044213,0.041451,0.043362,0.043362,127506532
2023-02-23,0.043366,0.045845,0.042833,0.043711,0.043711,133537813
2023-02-24,0.043713,0.043852,0.040759,0.041229,0.041229,106416994
2023-02-25,0.041229,0.041603,0.038942,0.040065,0.040065,86648294
2023-02-26,0.040068,0.042386,0.039667,0.041911,0.041911,85026859
2023-02-27,0.041912,0.043437,0.040988,0.041724,0.041724,113981204
2023-02-28,0.041732,0.041721,0.039793,0.040005,0.040005,72399960
2023-03-01,0.040014,0.042273,0.040058,0.041600,0.041600,77034358
2023-03-02,0.041594,0.041771,0.039335,0.040454,0.040454,79926809
2023-03-03,0.040457,0.040626,0.036662,0.037529,0.037529,95875643
2023-03-04,0.037531,0.038101,0.035611,0.036097,0.036097,64798758
2023-03-05,0.036098,0.036847,0.035837,0.036044,0.036044,59002336
2023-03-06,0.036041,0.036808,0.034968,0.036558,0.036558,62088242
2023-03-07,0.036554,0.036907,0.034894,0.035810,0.035810,75961424
2023-03-08,0.035810,0.035890,0.033512,0.033516,0.033516,67819130
2023-03-09,0.033516,0.034088,0.030447,0.030797,0.030797,106413195
2023-03-10,0.033516,0.034088,0.030447,0.030797,0.030797,106413195
2023-03-11,0.030804,0.031858,0.029796,0.031418,0.031418,98131263
2023-03-12,0.031415,0.032140,0.029867,0.031107,0.031107,80420665
2023-03-13,0.031106,0.033364,0.030638,0.033259,0.033259,69043563
2023-03-14,0.033269,0.035545,0.032333,0.035323,0.035323,106820373
2023-03-15,0.035323,0.037856,0.034292,0.035831,0.035831,144351199
2023-03-16,0.035848,0.036348,0.032804,0.033058,0.033058,126582751
2023-03-17,0.033067,0.034369,0.032895,0.033612,0.033612,102578891
2023-03-18,0.033609,0.035960,0.033205,0.035960,0.035960,129682877
2023-03-19,0.035964,0.036298,0.034013,0.034078,0.034078,119757015
2023-03-20,0.034098,0.036897,0.034020,0.036416,0.036416,122272072
2023-03-21,0.036421,0.037017,0.034164,0.034192,0.034192,127626060
2023-03-22,0.034199,0.035930,0.033155,0.035648,0.035648,107022191
2023-03-23,0.035650,0.035749,0.032799,0.033605,0.033605,119166687
2023-03-24,0.033604,0.035549,0.033489,0.035330,0.035330,74044065
2023-03-25,0.035328,0.036087,0.033777,0.034348,0.034348,76832005
2023-03-26,0.034347,0.035068,0.033705,0.034189,0.034189,60158009
2023-03-27,0.034186,0.034897,0.033933,0.034395,0.034395,53626267
2023-03-28,0.034399,0.034553,0.032429,0.033067,0.033067,69288239
2023-03-29,0.033061,0.033495,0.032396,0.033477,0.033477,61173636
2023-03-30,0.033472,0.034854,0.033409,0.034753,0.034753,72591024
2023-03-31,0.034755,0.035320,0.033496,0.034060,0.034060,77682378
2023-04-01,0.034062,0.035316,0.033726,0.035090,0.035090,68976288
2023-04-02,0.035088,0.035329,0.034548,0.035243,0.035243,57838078
2023-04-03,0.035230,0.035701,0.034180,0.034995,0.034995,69942913
2023-04-04,0.034990,0.035024,0.033178,0.034046,0.034046,81432822
2023-04-05,0.034046,0.035871,0.033841,0.035728,0.035728,82680700
2023-04-06,0.035726,0.036312,0.035592,0.036272,0.036272,74536010
2023-04-07,0.036273,0.037487,0.035704,0.036766,0.036766,118386061
2023-04-08,0.036770,0.036871,0.035709,0.036213,0.036213,75338011
2023-04-09,0.036209,0.036768,0.035849,0.035953,0.035953,65037408
2023-04-10,0.035955,0.036793,0.035537,0.036484,0.036484,56557957
2023-04-11,0.036483,0.037680,0.036493,0.037568,0.037568,62652070
2023-04-12,0.037582,0.037925,0.037250,0.037482,0.037482,69733371
2023-04-13,0.037483,0.037486,0.036090,0.036600,0.036600,58485171
2023-04-14,0.036523,0.037357,0.036412,0.037344,0.037344,63720761
2023-04-15,0.037349,0.038939,0.037634,0.038559,0.038559,88862251
2023-04-16,0.038561,0.038587,0.037945,0.038377,0.038377,58557464
2023-04-17,0.038378,0.039587,0.037935,0.039083,0.039083,76468250
2023-04-18,0.039077,0.039077,0.037758,0.038002,0.038002,71898798
2023-04-19,0.038003,0.039617,0.037761,0.039395,0.039395,81036998
2023-04-20,0.039396,0.039637,0.035319,0.035625,0.035625,106041598
2023-04-21,0.035615,0.035962,0.034032,0.034304,0.034304,75968309
2023-04-22,0.034303,0.034738,0.032803,0.033128,0.033128,74039562
2023-04-23,0.033131,0.033930,0.032927,0.033930,0.033930,50364847
2023-04-24,0.033931,0.033944,0.032459,0.033091,0.033091,52539269
2023-04-25,0.033093,0.033604,0.032494,0.032969,0.032969,53399171
2023-04-26,0.032968,0.034265,0.032525,0.034137,0.034137,69889165
2023-04-27,0.034137,0.035310,0.032253,0.033347,0.033347,83489877
2023-04-28,0.033345,0.034390,0.033293,0.034050,0.034050,67824318
2023-04-29,0.034049,0.034351,0.033586,0.033914,0.033914,49401614
